city,lat,lng,STATE,population,id
Birmingham,33.5277,-86.7987,AL,744189,1840006507
Mobile,30.6782,-88.1163,AL,318084,1840006009
Huntsville,34.6988,-86.6412,AL,309716,1840005061
Montgomery,32.3473,-86.2666,AL,255908,1840008353
Tuscaloosa,33.2348,-87.5266,AL,154204,1840005563
Auburn,32.6087,-85.4899,AL,89577,1840013810
Hoover,33.3754,-86.8065,AL,84920,1840014795
Florence,34.8303,-87.6654,AL,78112,1840002083
Anniston,33.6713,-85.8136,AL,75169,1840006563
Dothan,31.2335,-85.4068,AL,71620,1840001518
Daphne,30.6286,-87.8866,AL,69065,1840006178
Decatur,34.573,-86.9905,AL,68816,1840001403
Gadsden,34.009,-86.0156,AL,61656,1840006332
Madison,34.7114,-86.7626,AL,48861,1840015524
Enterprise,31.3276,-85.8459,AL,38737,1840001548
Albertville,34.2634,-86.2107,AL,37220,1840013599
Phenix City,32.4588,-85.0251,AL,36219,1840006012
Prattville,32.4605,-86.4588,AL,35498,1840004086
Vestavia Hills,33.4518,-86.7438,AL,34291,1840015673
Alabaster,33.2198,-86.8226,AL,33202,1840013756
Foley,30.3984,-87.6648,AL,33113,1840002084
Opelika,32.6621,-85.3772,AL,30240,1840005210
Athens,34.7847,-86.951,AL,29192,1840000935
Bessemer,33.3709,-86.9713,AL,26386,1840013732
Homewood,33.4617,-86.8092,AL,25476,1840014794
Northport,33.2589,-87.5985,AL,25094,1840014819
Pelham,33.3114,-86.7573,AL,23493,1840014826
Trussville,33.6404,-86.5818,AL,21827,1840015672
Prichard,30.7735,-88.1301,AL,21732,1840014990
Oxford,33.5966,-85.869,AL,21180,1840014780
Selma,32.4166,-87.0336,AL,21083,1840008329
Fairhope,30.522,-87.8816,AL,20935,1840002039
Mountain Brook,33.4871,-86.74,AL,20381,1840014792
Valley,32.8086,-85.1792,AL,20183,1840015760
Cullman,34.1777,-86.8399,AL,19114,1840001354
Helena,33.2846,-86.8756,AL,19072,1840014827
Tillmans Corner,30.5818,-88.2128,AL,18150,1840013896
Sylacauga,33.1779,-86.2606,AL,17307,1840015700
Troy,31.8021,-85.9665,AL,16782,1840005558
Center Point,33.6446,-86.6851,AL,16313,1840014789
Hueytown,33.4237,-87.0221,AL,15460,1840014796
Millbrook,32.5035,-86.3728,AL,15318,1840014877
Saraland,30.8457,-88.099,AL,14576,1840015886
Hartselle,34.4391,-86.9401,AL,14373,1840013593
Muscle Shoals,34.7435,-87.6343,AL,14022,1840014657
Calera,33.125,-86.7451,AL,13979,1840013757
Gardendale,33.6679,-86.8068,AL,13906,1840002820
Jasper,33.8514,-87.2719,AL,13432,1840003778
Talladega,33.4329,-86.0976,AL,13277,1840008244
Chelsea,33.3257,-86.6303,AL,13011,1840014823
Moody,33.5986,-86.4963,AL,12956,1840014770
Jacksonville,33.8088,-85.7544,AL,12612,1840007433
Irondale,33.544,-86.6599,AL,12468,1840014797
Leeds,33.5429,-86.5636,AL,12031,1840005106
Pell City,33.5609,-86.2668,AL,11952,1840014771
Gulf Shores,30.2758,-87.7014,AL,11809,1840013886
Ozark,31.4508,-85.6473,AL,11678,1840005283
Fairfield,33.4747,-86.9194,AL,10683,1840001883
Saks,33.7119,-85.8535,AL,10535,1840013708
Forestdale,33.5737,-86.9002,AL,10118,1840013723
Pleasant Grove,33.4936,-86.9782,AL,10104,1840014793
Russellville,34.5056,-87.7282,AL,9732,1840004247
Boaz,34.1985,-86.1529,AL,9652,1840013602
Clay,33.698,-86.6066,AL,9599,1840014790
Fultondale,33.6177,-86.8015,AL,9190,1840002481
Meadowbrook,33.3933,-86.7041,AL,9115,1840027633
Sheffield,34.7559,-87.7007,AL,8930,1840015537
Robertsdale,30.5534,-87.7022,AL,8784,1840014981
Bay Minette,30.893,-87.7912,AL,8532,1840000959
Tuscumbia,34.7204,-87.7035,AL,8398,1840005567
Wetumpka,32.5405,-86.2053,AL,8310,1840006013
Tuskegee,32.4395,-85.7139,AL,8258,1840004337
Arab,34.3309,-86.4991,AL,8244,1840013600
Pinson,33.7057,-86.6674,AL,7532,1840022941
Brook Highland,33.4359,-86.6849,AL,6748,1840027551
Montevallo,33.1254,-86.8482,AL,6636,1840014825
Theodore,30.5408,-88.1884,AL,6536,1840013895
Lanett,32.8576,-85.2079,AL,6271,1840014858
Tarrant,33.5945,-86.7684,AL,6201,1840015671
Satsuma,30.8577,-88.0632,AL,6154,1840015887
Attalla,34.0049,-86.104,AL,5827,1840013655
Chickasaw,30.7715,-88.0793,AL,5794,1840014986
Brent,32.9421,-87.1753,AL,5432,1840013781
Smiths Station,32.5284,-85.096,AL,5418,1840015792
Highland Lakes,33.397,-86.6497,AL,5394,1840075149
Grayson Valley,33.647,-86.6414,AL,5295,1840027631
Midfield,33.4552,-86.9227,AL,5092,1840014791
Scottsboro,34.6438,-86.0491,AL,9874,1840005605
Rainbow City,33.9337,-86.0922,AL,9555,1840014732
Pike Road,32.2934,-86.0901,AL,9322,1840017000
Alexander City,32.9242,-85.9361,AL,9222,1840013788
Southside,33.9007,-86.0237,AL,8731,1840015604
Eufaula,31.9102,-85.1505,AL,8727,1840001685
Spanish Fort,30.7257,-87.8601,AL,8644,1840015879
Guntersville,34.3674,-86.2635,AL,8429,1840006456
Fort Payne,34.4558,-85.6966,AL,7048,1840004822
Meridianville,34.8729,-86.5722,AL,6731,1840013546
Moores Mill,34.8491,-86.5222,AL,6695,1840013547
Lincoln,33.5935,-86.1372,AL,6664,1840015698
Brewton,31.1111,-87.0737,AL,6648,1840006146
Hamilton,34.1346,-87.9755,AL,6646,1840003629
Andalusia,31.3101,-86.4781,AL,6486,1840004591
Atmore,31.0927,-87.4763,AL,6368,1840013888
Orange Beach,30.2941,-87.5851,AL,6029,1840014980
Demopolis,32.498,-87.8298,AL,5907,1840014897
Clanton,32.8439,-86.623,AL,5876,1840006157
Harvest,34.8558,-86.7521,AL,5839,1840013544
Greenville,31.8437,-86.6379,AL,5652,1840003498
Oneonta,33.9391,-86.4929,AL,5432,1840005206
Glencoe,33.9446,-85.9319,AL,5152,1840003257
Fort Rucker,31.3428,-85.7154,AL,5149,1840073838
Daleville,31.2915,-85.7117,AL,5122,1840014955
Rainsville,34.4939,-85.8435,AL,5038,1840014658
Anchorage,61.1508,-149.1091,AL,253421,1840023385
Juneau,58.4546,-134.1739,AL,25180,1840023306
Fairbanks,64.8353,-147.6534,AL,64732,1840023463
Badger,64.8006,-147.3877,AL,19039,1840023690
Knik-Fairview,61.4964,-149.6535,AL,17203,1840075080
College,64.8694,-147.8217,AL,14362,1840023462
Ketchikan,55.3556,-131.6698,AL,10636,1840023270
Tanaina,61.656,-149.4272,AL,10512,1840023662
Wasilla,61.577,-149.4661,AL,10151,1840023371
Lakes,61.6053,-149.3067,AL,9424,1840075084
Kodiak,57.7934,-152.406,AL,9156,1840023301
Soldotna,60.4862,-151.0671,AL,7304,1840023415
Palmer,61.5971,-149.1147,AL,7209,1840023379
Kalifornsky,60.4417,-151.1972,AL,8588,1840023406
Meadow Lakes,61.638,-149.608,AL,7665,1840023681
Steele Creek,64.9295,-147.3955,AL,7571,1840075216
Sitka,57.2401,-135.3153,AL,6875,1840023319
Gateway,61.5737,-149.2388,AL,6694,1840023654
Chena Ridge,64.7941,-148.0357,AL,6155,1840075179
Fishhook,61.711,-149.2657,AL,6040,1840037578
Homer,59.653,-151.5255,AL,5697,1840023419
Kenai,60.5619,-151.1985,AL,5399,1840023421
Sterling,60.5405,-150.8089,AL,5387,1840023417
Farmers Loop,64.9061,-147.6957,AL,5092,1840075181
Phoenix,33.5722,-112.0891,AZ,4081849,1840020568
Tucson,32.1545,-110.8782,AZ,868391,1840022101
Mesa,33.4017,-111.7181,AZ,496401,1840020566
Chandler,33.2827,-111.8517,AZ,253458,1840019309
Scottsdale,33.6872,-111.8651,AZ,249950,1840021940
Glendale,33.5797,-112.2258,AZ,246709,1840020563
Gilbert,33.3103,-111.7463,AZ,242354,1840021947
Avondale,33.3858,-112.3236,AZ,217192,1840019310
Tempe,33.3881,-111.9318,AZ,185038,1840021942
Peoria,33.7844,-112.299,AZ,168181,1840020567
Yuma,32.5991,-114.5488,AZ,138802,1840021998
Surprise,33.68,-112.4524,AZ,134085,1840021941
Guadalupe,33.3664,-111.9633,AZ,6525,1840021948
South Tucson,32.1955,-110.9692,AZ,5643,1840022100
Prescott Valley,34.5982,-112.3178,AZ,97066,1840021772
San Tan Valley,33.1879,-111.5473,AZ,90665,1840027990
Goodyear,33.2614,-112.3622,AZ,79858,1840020564
Flagstaff,35.1872,-111.6195,AZ,78628,1840020335
Casas Adobes,32.3423,-111.0114,AZ,68919,1840018108
Buckeye,33.4314,-112.6429,AZ,68453,1840021939
Casa Grande,32.9068,-111.7624,AZ,58632,1840019364
Lake Havasu City,34.5006,-114.3113,AZ,55341,1840021044
Sierra Vista,31.563,-110.3153,AZ,51571,1840022103
Catalina Foothills,32.3041,-110.8835,AZ,50202,1840018110
Bullhead City,35.1205,-114.546,AZ,49531,1840019748
Sahuarita,31.9328,-110.9654,AZ,47229,1840022102
Maricopa,33.0404,-112.0006,AZ,46741,1840020629
Marana,32.4355,-111.1558,AZ,44792,1840023057
Oro Valley,32.4223,-110.9767,AZ,44350,1840023058
Kingman,35.217,-114.0105,AZ,44212,1840021043
Prescott,34.585,-112.4475,AZ,42731,1840020436
Apache Junction,33.3985,-111.5351,AZ,40538,1840019365
Queen Creek,33.2367,-111.6389,AZ,39184,1840021944
Sun City,33.6165,-112.2819,AZ,39000,1840019311
El Mirage,33.5905,-112.3271,AZ,35216,1840020562
Nogales,31.3624,-110.9336,AZ,30876,1840020823
San Luis,32.4911,-114.7089,AZ,30647,1840021996
Fortuna Foothills,32.6616,-114.3973,AZ,28200,1840027989
Drexel Heights,32.1457,-111.0479,AZ,28187,1840027928
Sun City West,33.6693,-112.3575,AZ,25085,1840019312
Fountain Hills,33.6073,-111.7398,AZ,24583,1840021945
Anthem,33.856,-112.1168,AZ,22980,1840022919
Green Valley,31.8437,-111.0172,AZ,21912,1840018111
Safford,32.8318,-109.7006,AZ,19302,1840021989
Somerton,32.6009,-114.699,AZ,19168,1840021997
Eloy,32.747,-111.5991,AZ,19168,1840020628
Rio Rico,31.4957,-110.9886,AZ,18891,1840027004
Florence,33.059,-111.4209,AZ,16935,1840021999
Douglas,31.3602,-109.5394,AZ,16438,1840019496
Tanque Verde,32.2687,-110.7437,AZ,16197,1840019489
Sierra Vista Southeast,31.4525,-110.216,AZ,15591,1840074401
Flowing Wells,32.2937,-111.011,AZ,14972,1840027988
New River,33.8835,-112.0858,AZ,14847,1840019307
Sun Lakes,33.2172,-111.8695,AZ,14800,1840019313
Fort Mohave,35.0004,-114.5748,AZ,14583,1840042961
Payson,34.2434,-111.3195,AZ,14412,1840022857
Paradise Valley,33.5434,-111.9595,AZ,14293,1840022913
Globe,33.3869,-110.7514,AZ,13198,1840020533
New Kingman-Butler,35.2645,-114.0091,AZ,13060,1840037118
Verde Village,34.712,-111.994,AZ,12584,1840017843
Tucson Estates,32.1792,-111.1254,AZ,12047,1840027929
Cottonwood,34.7194,-112.0015,AZ,12023,1840019168
Vail,32.0217,-110.6937,AZ,11735,1840019487
Coolidge,32.9395,-111.5261,AZ,11725,1840019367
Chino Valley,34.7594,-112.4107,AZ,11667,1840022753
Valencia West,32.1354,-111.1124,AZ,11468,1840074666
Camp Verde,34.5699,-111.8573,AZ,11201,1840022752
AZ City,32.7506,-111.6707,AZ,11030,1840018030
Show Low,34.2671,-110.0384,AZ,10837,1840021582
Gold Canyon,33.3715,-111.4369,AZ,10684,1840018032
Saddlebrooke,32.5385,-110.8582,AZ,10300,1840075484
Winslow,35.0252,-110.7098,AZ,9508,1840021583
Tuba City,36.125,-111.2467,AZ,9022,1840018972
Catalina,32.4849,-110.8996,AZ,7751,1840018109
Corona de Tucson,31.9495,-110.7836,AZ,7583,1840018106
Tolleson,33.4484,-112.2561,AZ,7205,1840021943
Sedona,34.8574,-111.7951,AZ,6967,1840021584
Youngtown,33.5846,-112.3047,AZ,6760,1840022917
Village of Oak Creek,34.7813,-111.7606,AZ,6436,1840036808
Litchfield Park,33.5024,-112.3586,AZ,6009,1840020565
Summit,32.0619,-110.9483,AZ,5349,1840019488
Bisbee,31.4126,-109.9178,AZ,5160,1840019495
Thatcher,32.832,-109.7595,AZ,5021,1840022955
Golden Valley,35.206,-114.2327,AZ,8694,1840018339
Picture Rocks,32.3274,-111.2558,AZ,8666,1840019482
Colorado City,36.9774,-112.983,AZ,8259,1840023170
Page,36.9425,-111.5071,AZ,6946,1840020336
Snowflake,34.5223,-110.0914,AZ,6461,1840022572
Rincon Valley,32.1101,-110.6889,AZ,6151,1840038089
Eagar,34.1058,-109.2956,AZ,6089,1840021623
Chinle,36.1504,-109.5793,AZ,5698,1840017672
Cave Creek,33.8513,-111.9801,AZ,5622,1840022915
Doney Park,35.2687,-111.5053,AZ,5522,1840075310
Three Points,32.0596,-111.2865,AZ,5453,1840019486
Avra Valley,32.4195,-111.3393,AZ,5227,1840027985
Williamson,34.7082,-112.5342,AZ,5108,1840019166
Paulden,34.8899,-112.4938,AZ,5064,1840019162
Lake Montezuma,34.6414,-111.796,AZ,5013,1840017849
Clifton,33.0249,-109.2883,AZ,5010,1840022949
Little Rock,34.7255,-92.358,AR,442699,1840015509
Fayetteville,36.0713,-94.166,AR,341890,1840013368
Fort Smith,35.3493,-94.3695,AR,125562,1840013456
Springdale,36.1898,-94.1573,AR,79599,1840015336
Jonesboro,35.8211,-90.6793,AR,73788,1840014507
Conway,35.0753,-92.4695,AR,72894,1840014598
Rogers,36.3172,-94.1518,AR,66430,1840014444
North Little Rock,34.7807,-92.2372,AR,65911,1840014632
Hot Springs,34.4902,-93.0498,AR,57819,1840014670
Bentonville,36.355,-94.2299,AR,49298,1840013319
Pine Bluff,34.2116,-92.0178,AR,46850,1840014699
Benton,34.5771,-92.5715,AR,35789,1840013572
Russellville,35.2763,-93.1383,AR,34373,1840014541
Sherwood,34.8509,-92.2029,AR,31081,1840015511
Texarkana,33.4361,-93.996,AR,30259,1840015708
Jacksonville,34.8807,-92.1302,AR,28513,1840014633
Bella Vista,36.4667,-94.2707,AR,28511,1840015287
Searcy,35.2418,-91.7351,AR,27180,1840015429
Paragould,36.0556,-90.5148,AR,26858,1840014474
Cabot,34.9764,-92.0273,AR,26141,1840013530
West Memphis,35.1531,-90.1995,AR,24860,1840015448
Van Buren,35.448,-94.3529,AR,23509,1840015397
Siloam Springs,36.1844,-94.5318,AR,21642,1840015288
Bryant,34.6152,-92.4912,AR,20194,1840013573
Maumelle,34.8522,-92.4,AR,18214,1840015510
El Dorado,33.2184,-92.664,AR,18086,1840013773
Blytheville,35.9322,-89.9051,AR,16388,1840013390
Harrison,36.2438,-93.1198,AR,14096,1840013327
Mountain Home,36.3349,-92.3846,AR,14047,1840014452
Centerton,36.3559,-94.2972,AR,14001,1840014441
Hot Springs Village,34.6568,-92.9644,AR,13918,1840013587
Forrest City,35.0102,-90.7874,AR,12728,1840013522
Marion,35.2041,-90.2061,AR,12440,1840015445
Batesville,35.7687,-91.6226,AR,12050,1840013398
Malvern,34.3689,-92.8187,AR,11751,1840015563
Arkadelphia,34.125,-93.0719,AR,10428,1840013638
Magnolia,33.2774,-93.2261,AR,10339,1840015726
Camden,33.5672,-92.8467,AR,10321,1840013736
Helena-West Helena,34.5314,-90.6201,AR,9864,1840027858
Hope,33.6682,-93.5895,AR,9688,1840014765
Monticello,33.6258,-91.7934,AR,9665,1840014805
Lowell,36.2563,-94.1518,AR,9215,1840015285
Greenwood,35.2134,-94.2407,AR,9054,1840013457
Stuttgart,34.4963,-91.5486,AR,8685,1840015556
Beebe,35.0714,-91.8998,AR,7477,1840013439
Osceola,35.6941,-89.9935,AR,7392,1840014501
Wynne,35.2326,-90.7895,AR,7348,1840015443
Crossett,33.128,-91.9631,AR,7096,1840014838
Trumann,35.6761,-90.5231,AR,6951,1840015406
Farmington,36.037,-94.2537,AR,6893,1840013367
De Queen,34.0426,-94.342,AR,6206,1840014735
Heber Springs,35.5003,-92.0332,AR,6181,1840014543
Morrilton,35.156,-92.739,AR,6161,1840014564
Newport,35.6234,-91.2322,AR,6137,1840014516
Pocahontas,36.264,-90.9703,AR,5755,1840014448
Alma,35.4919,-94.2165,AR,5738,1840013420
Pea Ridge,36.449,-94.1212,AR,5721,1840014443
Warren,33.6113,-92.0678,AR,5463,1840015696
Gibson,34.8923,-92.2341,AR,5415,1840013533
Mena,34.581,-94.2374,AR,5339,1840015549
Ward,35.0129,-91.9571,AR,5117,1840015504
White Hall,34.2737,-92.1005,AR,5054,1840015566
Clarksville,35.4569,-93.4803,AR,7664,1840014533
East End,34.5554,-92.3261,AR,7179,1840013086
Walnut Ridge,36.0852,-90.9462,AR,6568,1840015327
Los Angeles,34.1139,-118.4068,CA,12815475,1840020491
San Francisco,37.7562,-122.443,CA,3603761,1840021543
San Diego,32.8312,-117.1225,CA,3210314,1840021990
Riverside,33.9381,-117.3948,CA,2084749,1840020551
Sacramento,38.5667,-121.4683,CA,1854698,1840021491
San Jose,37.3021,-121.8489,CA,1821899,1840021570
Fresno,36.7831,-119.7941,CA,698021,1840020319
Concord,37.9722,-122.0016,CA,654770,1840018905
Mission Viejo,33.6095,-117.655,CA,600474,1840020580
Bakersfield,35.353,-119.0359,CA,574362,1840019148
Murrieta,33.572,-117.1909,CA,483681,1840020553
Long Beach,33.798,-118.1675,CA,469450,1840020490
Oakland,37.7903,-122.2165,CA,425195,1840020296
Indio,33.7346,-116.2346,CA,408097,1840019304
Stockton,37.9766,-121.3111,CA,394467,1840021517
Oxnard,34.1962,-119.1819,CA,389792,1840020474
Modesto,37.6374,-121.0028,CA,381398,1840020287
Anaheim,33.839,-117.8573,CA,352497,1840019322
Lancaster,34.6934,-118.1753,CA,349218,1840020516
Victorville,34.5277,-117.3536,CA,346948,1840021731
Santa Ana,33.7366,-117.8819,CA,334136,1840021964
Santa Rosa,38.4458,-122.7067,CA,321908,1840021488
Santa Clarita,34.4155,-118.4992,CA,309378,1840021864
Antioch,37.9789,-121.7957,CA,302885,1840018903
Irvine,33.6772,-117.7738,CA,277453,1840019325
Chula Vista,32.6281,-117.0145,CA,270471,1840019350
Fremont,37.5265,-121.9852,CA,234962,1840020292
Visalia,36.3276,-119.3269,CA,234573,1840021639
Thousand Oaks,34.1914,-118.8755,CA,218729,1840021844
San Bernardino,34.1417,-117.2945,CA,216995,1840021728
Fontana,34.0968,-117.4599,CA,211815,1840020402
Moreno Valley,33.9244,-117.2045,CA,207226,1840020552
Santa Barbara,34.4285,-119.7202,CA,204034,1840021829
Glendale,34.1818,-118.2468,CA,203054,1840020483
Huntington Beach,33.696,-118.0025,CA,201874,1840020578
Salinas,36.6884,-121.6317,CA,193590,1840021632
Santa Cruz,36.9789,-122.0346,CA,177556,1840021579
Rancho Cucamonga,34.1248,-117.5666,CA,177452,1840020411
Hemet,33.7341,-116.9969,CA,176892,1840020550
Oceanside,33.2247,-117.3083,CA,176193,1840020623
Ontario,34.0393,-117.6064,CA,175841,1840020410
Garden Grove,33.7787,-117.9601,CA,174226,1840020577
Vallejo,38.1133,-122.2359,CA,173844,1840021499
Elk Grove,38.416,-121.384,CA,171844,1840020245
Corona,33.862,-117.5641,CA,167836,1840019305
Hayward,37.6328,-122.0772,CA,160500,1840020293
Palmdale,34.5944,-118.1057,CA,157519,1840020502
Sunnyvale,37.3836,-122.0257,CA,153656,1840021573
Pomona,34.0585,-117.7626,CA,152939,1840020507
Escondido,33.1347,-117.0723,CA,151969,1840020620
Fairfield,38.2594,-122.0319,CA,147582,1840020253
Torrance,33.8346,-118.3417,CA,146758,1840021873
Merced,37.3057,-120.4779,CA,144117,1840020313
Pasadena,34.1597,-118.139,CA,142647,1840020505
Orange,33.8038,-117.8218,CA,140560,1840020582
Fullerton,33.8841,-117.9279,CA,140392,1840020576
Santa Maria,34.9333,-120.4432,CA,140219,1840021830
Roseville,38.7691,-121.3178,CA,135329,1840020233
Simi Valley,34.2663,-118.749,CA,127864,1840021843
Santa Clara,37.3646,-121.968,CA,127134,1840021571
East Los Angeles,34.0326,-118.1691,CA,123905,1840019206
Berkeley,37.8723,-122.276,CA,122324,1840018914
Redding,40.5698,-122.365,CA,120270,1840020141
Yuba City,39.1357,-121.6381,CA,120186,1840021463
Seaside,36.6224,-121.8191,CA,118110,1840021634
Gilroy,37.0047,-121.5856,CA,116235,1840020327
El Monte,34.0739,-118.0291,CA,116109,1840020480
Carlsbad,33.1247,-117.2837,CA,115330,1840019352
Temecula,33.4928,-117.1315,CA,114327,1840021937
Costa Mesa,33.6667,-117.9135,CA,113825,1840019326
Downey,33.9379,-118.1312,CA,113092,1840019245
El Centro,32.7867,-115.5586,CA,112145,1840020630
San Buenaventura,34.2741,-119.2314,CA,110790,1840037414
Inglewood,33.9566,-118.3444,CA,110598,1840019237
Richmond,37.9477,-122.339,CA,110040,1840020277
Clovis,36.8277,-119.6838,CA,109691,1840018944
West Covina,34.0555,-117.9112,CA,107598,1840021876
Turlock,37.5053,-120.8587,CA,107208,1840021533
Daly City,37.6863,-122.4684,CA,107074,1840018926
Chico,39.7575,-121.8152,CA,106268,1840018778
Norwalk,33.9069,-118.0829,CA,106084,1840020501
Jurupa Valley,34.001,-117.4706,CA,106028,1840043419
Burbank,34.1879,-118.3235,CA,104834,1840019233
San Mateo,37.5522,-122.3122,CA,104748,1840021551
El Cajon,32.8017,-116.9604,CA,103894,1840020618
Rialto,34.1175,-117.3894,CA,103562,1840020407
Vista,33.1896,-117.2386,CA,101568,1840021994
Vacaville,38.359,-121.968,CA,100801,1840021498
Arden-Arcade,38.6034,-121.381,CA,98616,1840036690
Compton,33.893,-118.2275,CA,97612,1840019240
South Gate,33.9448,-118.1926,CA,95430,1840021870
Santa Monica,34.0232,-118.4813,CA,92306,1840021866
Westminster,33.7523,-117.9938,CA,91564,1840021969
San Leandro,37.7071,-122.1601,CA,90553,1840021538
Citrus Heights,38.6948,-121.288,CA,87931,1840018845
Hawthorne,33.9146,-118.3476,CA,87854,1840020486
Whittier,33.9678,-118.0188,CA,86838,1840021878
Alhambra,34.084,-118.1355,CA,85396,1840019222
Buena Park,33.8572,-118.0046,CA,83015,1840019324
Mountain View,37.4,-122.0796,CA,81438,1840020332
Lakewood,33.8471,-118.1221,CA,80967,1840020515
Tustin,33.7309,-117.8106,CA,80498,1840021967
Alameda,37.767,-122.2673,CA,79177,1840018913
Milpitas,37.434,-121.8921,CA,78106,1840020329
Bellflower,33.888,-118.1271,CA,77772,1840019230
Watsonville,36.9206,-121.7706,CA,77700,1840021581
Davis,38.5552,-121.7365,CA,76524,1840018833
Baldwin Park,34.0829,-117.9721,CA,76402,1840019227
Lynwood,33.924,-118.2017,CA,71099,1840020492
Redondo Beach,33.8574,-118.3766,CA,67908,1840020509
South San Francisco,37.6536,-122.4197,CA,67429,1840021552
Florence-Graham,33.9682,-118.2447,CA,63821,1840037057
Pico Rivera,33.9902,-118.0888,CA,63522,1840020506
Montebello,34.0155,-118.1108,CA,63192,1840020499
La Habra,33.9278,-117.9513,CA,62466,1840020585
National City,32.6654,-117.0983,CA,61363,1840020622
Monterey Park,34.0497,-118.1326,CA,61044,1840020500
Cupertino,37.3168,-122.0465,CA,60777,1840018950
Gardena,33.8944,-118.3073,CA,60224,1840020482
La Mesa,32.7703,-117.0204,CA,60021,1840020625
South Whittier,33.9336,-118.0311,CA,60000,1840019209
Huntington Park,33.98,-118.2167,CA,58822,1840019235
Arcadia,34.1342,-118.0373,CA,58799,1840019223
Fountain Valley,33.7105,-117.9514,CA,56313,1840020575
Paramount,33.8977,-118.1652,CA,54909,1840020504
Rosemead,34.0688,-118.0823,CA,54554,1840020495
Placentia,33.8807,-117.8553,CA,52157,1840020583
Aliso Viejo,33.5792,-117.7289,CA,51671,1840019321
Cerritos,33.8677,-118.0686,CA,51020,1840019215
Florin,38.4832,-121.4042,CA,49226,1840017581
La Mirada,33.9025,-118.0093,CA,49095,1840020512
Cypress,33.8171,-118.0386,CA,49064,1840019327
Ceres,37.5953,-120.9625,CA,48697,1840018910
Covina,34.0903,-117.8817,CA,48462,1840019241
Antelope,38.7153,-121.361,CA,47728,1840022490
North Highlands,38.6713,-121.3721,CA,47357,1840018841
Hollister,36.8563,-121.3981,CA,46183,1840020354
Altadena,34.1928,-118.1345,CA,45236,1840017918
San Bruno,37.6254,-122.4313,CA,43299,1840021549
Rohnert Park,38.348,-122.6964,CA,42838,1840020243
Bell Gardens,33.9663,-118.155,CA,42747,1840019229
Campbell,37.2801,-121.9538,CA,41544,1840018949
San Gabriel,34.0948,-118.099,CA,40514,1840021862
La Puente,34.0323,-117.9533,CA,40322,1840020513
Culver City,34.0058,-118.3968,CA,39283,1840019243
Montclair,34.0714,-117.6981,CA,39276,1840020408
Stanton,33.8002,-117.9935,CA,38528,1840021966
West Hollywood,34.0883,-118.3719,CA,37080,1840028098
Temple City,34.1022,-118.0579,CA,36367,1840021872
La Presa,32.711,-117.0027,CA,36225,1840018023
Manhattan Beach,33.8895,-118.3972,CA,35924,1840020496
Bell,33.9801,-118.1798,CA,35811,1840019228
Oildale,35.4249,-119.0279,CA,34496,1840019137
Beverly Hills,34.0786,-118.4021,CA,34484,1840019231
Foster City,37.5553,-122.2659,CA,34412,1840020302
Dana Point,33.4733,-117.6969,CA,33934,1840019328
Foothill Farms,38.6867,-121.3475,CA,33627,1840017582
Westmont,33.9417,-118.3018,CA,33532,1840028408
Lawndale,33.8884,-118.3531,CA,33078,1840020517
San Pablo,37.9628,-122.3425,CA,31156,1840021529
Santa Paula,34.3521,-119.0698,CA,30747,1840021842
Burlingame,37.586,-122.3669,CA,30686,1840018925
San Carlos,37.4982,-122.268,CA,30499,1840021550
East Palo Alto,37.4671,-122.1352,CA,29765,1840020301
Suisun City,38.2471,-122.0086,CA,29639,1840028115
Ladera Ranch,33.5491,-117.6416,CA,28769,1840028333
Maywood,33.9885,-118.1877,CA,27586,1840020497
Isla Vista,34.4144,-119.8581,CA,27484,1840017887
Imperial Beach,32.5689,-117.1184,CA,27418,1840019353
Belmont,37.5154,-122.2955,CA,27140,1840018924
Lemon Grove,32.7331,-117.0344,CA,27108,1840020621
West Whittier-Los Nietos,33.9759,-118.0689,CA,27002,1840074745
Soledad,36.4434,-121.3431,CA,26483,1840021635
South Pasadena,34.1103,-118.1573,CA,25888,1840021871
El Cerrito,37.9197,-122.3025,CA,25515,1840020275
San Lorenzo,37.6737,-122.1349,CA,25101,1840018912
Valinda,34.04,-117.9301,CA,25080,1840019213
Riverbank,37.7268,-120.9402,CA,24740,1840020286
San Fernando,34.2886,-118.4363,CA,24714,1840021861
Ashland,37.6942,-122.1159,CA,24477,1840017619
Cudahy,33.9631,-118.183,CA,24076,1840019242
Rosemont,38.5477,-121.3553,CA,23700,1840018844
West Rancho Dominguez,33.9057,-118.2682,CA,23537,1840028406
West Puente Valley,34.0512,-117.9681,CA,23487,1840028409
Millbrae,37.5994,-122.4024,CA,22718,1840020306
Willowbrook,33.9199,-118.2362,CA,22654,1840019220
West Carson,33.8229,-118.2931,CA,22260,1840028405
Lennox,33.938,-118.3586,CA,21537,1840017923
South El Monte,34.0493,-118.0484,CA,20987,1840021869
Lomita,33.7933,-118.3175,CA,20707,1840020489
South San Jose Hills,34.0123,-117.9041,CA,20423,1840019208
Albany,37.8898,-122.3018,CA,20143,1840028140
Hermosa Beach,33.8654,-118.3966,CA,19708,1840020487
La Crescenta-Montrose,34.2323,-118.2353,CA,19658,1840074182
Greenfield,36.3232,-121.2451,CA,17647,1840020356
Bostonia,32.8189,-116.9479,CA,17600,1840018018
Vincent,34.0982,-117.9238,CA,17485,1840074687
